area_code,inventory,market_size,market,number_of_records,product_line,product_type,product,state,type,order_date_mdy,order_date_dmy,budget_cogs,budget_margin,budget_profit,budget_sales,cogs,margin,marketing,profit,sales,total_expenses,row_id,order_month
530,613,Major Market,West,1,Leaves,Herbal Tea,Mint,California,Decaf,2015-09-13,2015-09-13,70.00,90.00,60.00,160.00,83.00,107.00,27.00,68.00,190.00,39.00,25,2015-09-01
504,494,Small Market,South,1,Leaves,Herbal Tea,Lemon,Louisiana,Decaf,2018-09-18,2018-09-18,80.00,100.00,40.00,180.00,85.00,105.00,32.00,40.00,190.00,65.00,26,2018-09-01
845,965,Major Market,East,1,Leaves,Herbal Tea,Mint,New York,Decaf,2017-06-20,2017-06-20,150.00,-10.00,-70.00,140.00,207.00,-27.00,64.00,-113.00,180.00,86.00,27,2017-06-01
213,1310,Major Market,West,1,Beans,Espresso,Decaf Espresso,California,Decaf,2015-06-09,2015-06-09,220.00,300.00,200.00,520.00,234.00,312.00,77.00,203.00,546.00,109.00,28,2015-06-01
505,965,Small Market,South,1,Leaves,Herbal Tea,Lemon,New Mexico,Decaf,2018-09-18,2018-09-18,20.00,40.00,20.00,60.00,28.00,34.00,8.00,4.00,62.00,30.00,29,2018-09-01
719,331,Major Market,Central,1,Leaves,Tea,Darjeeling,Colorado,Regular,2018-04-07,2018-04-07,50.00,60.00,10.00,110.00,59.00,73.00,22.00,18.00,132.00,55.00,30,2018-04-01
281,336,Major Market,South,1,Leaves,Herbal Tea,Chamomile,Texas,Decaf,2016-04-18,2016-04-18,50.00,80.00,50.00,130.00,60.00,80.00,19.00,33.00,140.00,47.00,31,2016-04-01
719,777,Major Market,Central,1,Beans,Coffee,Amaretto,Colorado,Regular,2018-04-15,2018-04-15,90.00,130.00,100.00,220.00,89.00,130.00,24.00,94.00,219.00,36.00,32,2018-04-01
580,551,Small Market,South,1,Leaves,Herbal Tea,Lemon,Oklahoma,Decaf,2018-09-18,2018-09-18,70.00,110.00,30.00,180.00,79.00,111.00,72.00,10.00,190.00,101.00,33,2018-09-01
254,364,Major Market,South,1,Leaves,Herbal Tea,Lemon,Texas,Decaf,2016-04-18,2016-04-18,50.00,80.00,50.00,130.00,57.00,83.00,18.00,42.00,140.00,41.00,34,2016-04-01
740,336,Major Market,Central,1,Beans,Coffee,Amaretto,Ohio,Regular,2017-12-05,2017-12-05,60.00,80.00,50.00,140.00,60.00,80.00,19.00,34.00,140.00,46.00,35,2017-12-01
510,821,Major Market,West,1,Leaves,Herbal Tea,Chamomile,California,Decaf,2016-04-18,2016-04-18,80.00,120.00,100.00,200.00,95.00,139.00,26.00,102.00,234.00,37.00,36,2016-04-01
702,725,Small Market,West,1,Leaves,Herbal Tea,Chamomile,Nevada,Decaf,2018-12-22,2018-12-22,90.00,130.00,30.00,220.00,105.00,145.00,95.00,16.00,250.00,129.00,37,2018-12-01
970,623,Major Market,Central,1,Beans,Coffee,Colombian,Colorado,Regular,2016-11-22,2016-11-22,80.00,110.00,80.00,190.00,83.00,107.00,27.00,68.00,190.00,39.00,38,2016-11-01
310,965,Major Market,West,1,Leaves,Herbal Tea,Lemon,California,Decaf,2016-04-18,2016-04-18,170.00,220.00,160.00,390.00,207.00,245.00,64.00,160.00,452.00,85.00,39,2016-04-01
309,449,Major Market,Central,1,Leaves,Tea,Darjeeling,Illinois,Regular,2018-04-07,2018-04-07,60.00,100.00,80.00,160.00,77.00,112.00,21.00,79.00,189.00,33.00,40,2018-04-01
217,862,Major Market,Central,1,Beans,Coffee,Colombian,Illinois,Regular,2016-11-22,2016-11-22,150.00,210.00,130.00,360.00,144.00,201.00,47.00,111.00,345.00,90.00,41,2016-11-01
971,777,Small Market,West,1,Leaves,Herbal Tea,Chamomile,Oregon,Decaf,2016-09-07,2016-09-07,30.00,40.00,40.00,70.00,36.00,54.00,10.00,33.00,90.00,21.00,42,2016-09-01
707,623,Major Market,West,1,Leaves,Herbal Tea,Mint,California,Decaf,2017-12-11,2017-12-11,70.00,90.00,60.00,160.00,83.00,107.00,27.00,67.00,190.00,40.00,43,2017-12-01
614,640,Major Market,Central,1,Leaves,Tea,Darjeeling,Ohio,Regular,2018-04-07,2018-04-07,60.00,110.00,60.00,170.00,80.00,120.00,26.00,62.00,200.00,58.00,44,2018-04-01
614,364,Major Market,Central,1,Beans,Coffee,Colombian,Ohio,Regular,2015-11-11,2015-11-11,60.00,80.00,50.00,140.00,57.00,83.00,18.00,42.00,140.00,41.00,45,2015-11-01
801,241,Small Market,West,1,Leaves,Herbal Tea,Chamomile,Utah,Decaf,2015-10-22,2015-10-22,30.00,50.00,30.00,80.00,38.00,55.00,12.00,21.00,93.00,34.00,46,2015-10-01
720,958,Major Market,Central,1,Leaves,Tea,Earl Grey,Colorado,Regular,2018-04-07,2018-04-07,50.00,60.00,30.00,110.00,62.00,74.00,19.00,34.00,136.00,40.00,47,2018-04-01
206,961,Small Market,West,1,Leaves,Herbal Tea,Chamomile,Washington,Decaf,2017-12-05,2017-12-05,100.00,170.00,120.00,270.00,124.00,186.00,40.00,115.00,310.00,71.00,48,2017-12-01
303,456,Major Market,Central,1,Beans,Espresso,Caffe Mocha,Colorado,Regular,2015-05-13,2015-05-13,60.00,90.00,70.00,150.00,54.00,80.00,15.00,54.00,134.00,26.00,49,2015-05-01
719,338,Major Market,Central,1,Leaves,Tea,Darjeeling,Colorado,Regular,2017-12-11,2017-12-11,40.00,70.00,20.00,110.00,58.00,72.00,22.00,17.00,130.00,55.00,50,2017-12-01
630,549,Major Market,Central,1,Leaves,Tea,Earl Grey,Illinois,Regular,2018-04-07,2018-04-07,60.00,100.00,50.00,160.00,75.00,114.00,24.00,59.00,189.00,55.00,51,2018-04-01
309,1310,Major Market,Central,1,Beans,Espresso,Caffe Mocha,Illinois,Regular,2015-08-27,2015-08-27,270.00,370.00,260.00,640.00,234.00,312.00,77.00,203.00,546.00,109.00,52,2015-08-01
217,456,Major Market,Central,1,Leaves,Tea,Darjeeling,Illinois,Regular,2017-06-17,2017-06-17,40.00,70.00,50.00,110.00,54.00,80.00,15.00,53.00,134.00,27.00,53,2017-06-01
513,490,Major Market,Central,1,Leaves,Tea,Earl Grey,Ohio,Regular,2018-11-12,2018-11-12,70.00,110.00,70.00,180.00,86.00,120.00,26.00,71.00,206.00,49.00,54,2018-11-01
614,1091,Major Market,Central,1,Beans,Espresso,Caffe Mocha,Ohio,Regular,2015-08-27,2015-08-27,190.00,210.00,140.00,400.00,170.00,171.00,47.00,99.00,341.00,72.00,55,2015-08-01
567,651,Major Market,Central,1,Leaves,Tea,Darjeeling,Ohio,Regular,2017-06-17,2017-06-17,70.00,110.00,60.00,180.00,84.00,126.00,27.00,68.00,210.00,58.00,56,2017-06-01
775,862,Small Market,West,1,Leaves,Herbal Tea,Lemon,Nevada,Decaf,2017-12-05,2017-12-05,120.00,180.00,120.00,300.00,144.00,201.00,47.00,111.00,345.00,90.00,57,2017-12-01
970,618,Major Market,Central,1,Leaves,Tea,Green Tea,Colorado,Regular,2017-06-04,2017-06-04,30.00,50.00,30.00,80.00,44.00,56.00,14.00,30.00,100.00,26.00,58,2017-06-01
954,651,Major Market,East,1,Beans,Coffee,Colombian,Florida,Regular,2015-08-27,2015-08-27,80.00,110.00,70.00,190.00,84.00,126.00,27.00,68.00,210.00,58.00,59,2015-08-01
303,965,Major Market,Central,1,Leaves,Tea,Earl Grey,Colorado,Regular,2017-06-17,2017-06-17,50.00,70.00,40.00,120.00,64.00,76.00,19.00,36.00,140.00,40.00,60,2017-06-01
503,623,Small Market,West,1,Leaves,Herbal Tea,Lemon,Oregon,Decaf,2017-12-05,2017-12-05,30.00,50.00,30.00,80.00,44.00,56.00,14.00,29.00,100.00,27.00,61,2017-12-01
786,817,Major Market,East,1,Leaves,Tea,Darjeeling,Florida,Regular,2017-06-04,2017-06-04,30.00,50.00,40.00,80.00,32.00,48.00,8.00,28.00,80.00,20.00,62,2017-06-01
413,558,Major Market,East,1,Beans,Coffee,Colombian,Massachusetts,Regular,2017-12-09,2017-12-09,60.00,400.00,360.00,460.00,72.00,422.00,23.00,367.00,494.00,55.00,63,2017-12-01
708,558,Major Market,Central,1,Leaves,Tea,Earl Grey,Illinois,Regular,2017-06-17,2017-06-17,60.00,90.00,40.00,150.00,72.00,108.00,23.00,54.00,180.00,54.00,64,2017-06-01
435,372,Small Market,West,1,Leaves,Herbal Tea,Lemon,Utah,Decaf,2017-12-05,2017-12-05,40.00,60.00,30.00,100.00,48.00,72.00,15.00,25.00,120.00,47.00,65,2017-12-01
978,817,Major Market,East,1,Leaves,Tea,Darjeeling,Massachusetts,Regular,2017-06-04,2017-06-04,30.00,50.00,40.00,80.00,32.00,48.00,8.00,28.00,80.00,20.00,66,2017-06-01
716,2101,Major Market,East,1,Beans,Coffee,Colombian,New York,Regular,2017-12-09,2017-12-09,260.00,380.00,260.00,640.00,271.00,407.00,94.00,262.00,678.00,145.00,67,2017-12-01
216,500,Major Market,Central,1,Leaves,Tea,Earl Grey,Ohio,Regular,2017-06-17,2017-06-17,70.00,100.00,60.00,170.00,84.00,116.00,26.00,67.00,200.00,49.00,68,2017-06-01
360,777,Small Market,West,1,Leaves,Herbal Tea,Lemon,Washington,Decaf,2017-03-13,2017-03-13,20.00,50.00,50.00,70.00,34.00,51.00,9.00,30.00,85.00,21.00,69,2017-03-01
631,809,Major Market,East,1,Leaves,Tea,Darjeeling,New York,Regular,2017-06-04,2017-06-04,100.00,150.00,120.00,250.00,95.00,137.00,26.00,100.00,232.00,37.00,70,2017-06-01
239,551,Major Market,East,1,Beans,Espresso,Caffe Mocha,Florida,Regular,2018-07-16,2018-07-16,70.00,110.00,30.00,180.00,79.00,111.00,72.00,9.00,190.00,102.00,71,2018-07-01
303,623,Major Market,Central,1,Leaves,Tea,Green Tea,Colorado,Regular,2017-06-17,2017-06-17,30.00,50.00,30.00,80.00,44.00,56.00,14.00,30.00,100.00,26.00,72,2017-06-01
518,766,Major Market,East,1,Leaves,Tea,Earl Grey,New York,Regular,2017-06-04,2017-06-04,100.00,160.00,130.00,260.00,99.00,144.00,27.00,105.00,243.00,39.00,73,2017-06-01
702,608,Small Market,West,1,Leaves,Herbal Tea,Mint,Nevada,Decaf,2017-03-13,2017-03-13,80.00,120.00,90.00,200.00,95.00,139.00,30.00,86.00,234.00,53.00,74,2017-03-01
954,821,Major Market,East,1,Leaves,Tea,Darjeeling,Florida,Regular,2017-06-17,2017-06-17,30.00,50.00,40.00,80.00,32.00,48.00,8.00,28.00,80.00,20.00,75,2017-06-01
727,772,Major Market,East,1,Leaves,Tea,Green Tea,Florida,Regular,2017-06-04,2017-06-04,40.00,80.00,60.00,120.00,47.00,68.00,13.00,44.00,115.00,24.00,76,2017-06-01
435,525,Small Market,West,1,Leaves,Herbal Tea,Mint,Utah,Decaf,2016-05-31,2016-05-31,70.00,10.00,-30.00,80.00,88.00,11.00,27.00,-40.00,99.00,51.00,77,2016-05-01
781,435,Major Market,East,1,Beans,Espresso,Caffe Mocha,Massachusetts,Regular,2016-09-25,2016-09-25,60.00,60.00,-10.00,120.00,63.00,63.00,57.00,-23.00,126.00,86.00,78,2016-09-01
508,821,Major Market,East,1,Leaves,Tea,Darjeeling,Massachusetts,Regular,2016-11-24,2016-11-24,30.00,50.00,40.00,80.00,32.00,48.00,8.00,29.00,80.00,19.00,79,2016-11-01
712,1459,Small Market,Central,1,Leaves,Tea,Darjeeling,Iowa,Regular,2016-05-31,2016-05-31,190.00,210.00,140.00,400.00,228.00,228.00,63.00,141.00,456.00,87.00,80,2016-05-01
315,725,Major Market,East,1,Beans,Espresso,Caffe Mocha,New York,Regular,2017-01-16,2017-01-16,100.00,-50.00,-170.00,50.00,105.00,-44.00,95.00,-172.00,61.00,128.00,81,2017-01-01
978,452,Major Market,East,1,Leaves,Tea,Green Tea,Massachusetts,Regular,2017-06-04,2017-06-04,20.00,40.00,30.00,60.00,22.00,34.00,6.00,17.00,56.00,17.00,82,2017-06-01
314,196,Small Market,Central,1,Leaves,Tea,Darjeeling,Missouri,Regular,2016-05-31,2016-05-31,30.00,40.00,10.00,70.00,35.00,47.00,11.00,9.00,82.00,38.00,83,2016-05-01
845,449,Major Market,East,1,Leaves,Tea,Green Tea,New York,Regular,2015-06-01,2015-06-01,80.00,120.00,90.00,200.00,77.00,112.00,21.00,79.00,189.00,33.00,84,2015-06-01
347,821,Major Market,East,1,Leaves,Tea,Darjeeling,New York,Regular,2016-11-24,2016-11-24,100.00,150.00,120.00,250.00,95.00,139.00,26.00,101.00,234.00,38.00,85,2016-11-01
608,390,Small Market,Central,1,Leaves,Tea,Darjeeling,Wisconsin,Regular,2016-05-28,2016-05-28,50.00,80.00,50.00,130.00,61.00,89.00,19.00,47.00,150.00,42.00,86,2016-05-01
978,1091,Major Market,East,1,Beans,Espresso,Regular Espresso,Massachusetts,Regular,2017-01-16,2017-01-16,160.00,170.00,110.00,330.00,170.00,171.00,47.00,100.00,341.00,71.00,87,2017-01-01
626,766,Major Market,West,1,Leaves,Tea,Darjeeling,California,Regular,2015-06-01,2015-06-01,60.00,100.00,90.00,160.00,99.00,144.00,27.00,106.00,243.00,38.00,88,2015-06-01
646,777,Major Market,East,1,Leaves,Tea,Earl Grey,New York,Regular,2016-11-24,2016-11-24,90.00,140.00,110.00,230.00,89.00,130.00,24.00,94.00,219.00,36.00,89,2016-11-01
319,1419,Small Market,Central,1,Leaves,Tea,Earl Grey,Iowa,Regular,2015-03-01,2015-03-01,210.00,270.00,160.00,480.00,245.00,301.00,93.00,175.00,546.00,126.00,90,2015-03-01
858,449,Major Market,West,1,Leaves,Tea,Earl Grey,California,Regular,2015-06-01,2015-06-01,50.00,70.00,60.00,120.00,77.00,112.00,21.00,80.00,189.00,32.00,91,2015-06-01
754,777,Major Market,East,1,Leaves,Tea,Green Tea,Florida,Regular,2016-11-24,2016-11-24,30.00,50.00,40.00,80.00,33.00,48.00,9.00,28.00,81.00,20.00,92,2016-11-01
573,169,Small Market,Central,1,Leaves,Tea,Earl Grey,Missouri,Regular,2017-11-20,2017-11-20,20.00,30.00,-10.00,50.00,29.00,36.00,11.00,-9.00,65.00,45.00,93,2017-11-01
631,1459,Major Market,East,1,Beans,Espresso,Regular Espresso,New York,Regular,2016-09-17,2016-09-17,210.00,270.00,200.00,480.00,228.00,262.00,63.00,175.00,490.00,87.00,94,2016-09-01
858,549,Major Market,West,1,Leaves,Tea,Green Tea,California,Regular,2015-06-01,2015-06-01,40.00,80.00,50.00,120.00,75.00,114.00,24.00,58.00,189.00,56.00,95,2015-06-01
781,456,Major Market,East,1,Leaves,Tea,Green Tea,Massachusetts,Regular,2016-04-30,2016-04-30,30.00,50.00,40.00,80.00,32.00,48.00,8.00,29.00,80.00,19.00,96,2016-04-01
262,522,Small Market,Central,1,Leaves,Tea,Earl Grey,Wisconsin,Regular,2017-11-20,2017-11-20,60.00,90.00,10.00,150.00,75.00,105.00,68.00,7.00,180.00,98.00,97,2017-11-01
409,965,Major Market,South,1,Beans,Coffee,Colombian,Texas,Regular,2016-09-17,2016-09-17,260.00,300.00,220.00,560.00,207.00,245.00,64.00,159.00,452.00,86.00,98,2016-09-01
712,620,Small Market,Central,1,Beans,Coffee,Decaf Irish Cream,Iowa,Decaf,2015-06-01,2015-06-01,20.00,30.00,20.00,50.00,23.00,31.00,7.00,12.00,54.00,19.00,99,2015-06-01
347,456,Major Market,East,1,Leaves,Tea,Green Tea,New York,Regular,2015-12-05,2015-12-05,50.00,90.00,70.00,140.00,54.00,80.00,15.00,54.00,134.00,26.00,100,2015-12-01
417,197,Small Market,Central,1,Leaves,Tea,Green Tea,Missouri,Regular,2017-05-11,2017-05-11,20.00,40.00,0.00,60.00,34.00,42.00,12.00,-4.00,76.00,46.00,101,2017-05-01
816,956,Small Market,Central,1,Beans,Coffee,Decaf Irish Cream,Missouri,Decaf,2017-12-10,2017-12-10,70.00,100.00,60.00,170.00,75.00,90.00,23.00,46.00,165.00,44.00,102,2017-12-01
830,558,Major Market,South,1,Beans,Espresso,Caffe Latte,Texas,Regular,2016-09-17,2016-09-17,60.00,90.00,50.00,150.00,72.00,108.00,23.00,53.00,180.00,55.00,103,2016-09-01
475,821,Small Market,East,1,Leaves,Tea,Darjeeling,Connecticut,Regular,2016-12-28,2016-12-28,50.00,80.00,60.00,130.00,50.00,73.00,14.00,47.00,123.00,26.00,104,2016-12-01
414,423,Small Market,Central,1,Beans,Coffee,Decaf Irish Cream,Wisconsin,Decaf,2017-09-11,2017-09-11,80.00,100.00,60.00,180.00,77.00,103.00,25.00,50.00,180.00,53.00,105,2017-09-01
325,777,Major Market,South,1,Beans,Espresso,Caffe Mocha,Texas,Regular,2016-09-17,2016-09-17,70.00,110.00,90.00,180.00,89.00,130.00,24.00,95.00,219.00,35.00,106,2016-09-01
619,777,Major Market,West,1,Leaves,Tea,Darjeeling,California,Regular,2015-12-05,2015-12-05,50.00,90.00,80.00,140.00,89.00,130.00,24.00,94.00,219.00,36.00,107,2015-12-01
603,821,Small Market,East,1,Leaves,Tea,Darjeeling,New Hampshire,Regular,2017-11-16,2017-11-16,10.00,30.00,20.00,40.00,18.00,27.00,5.00,10.00,45.00,17.00,108,2017-11-01
916,608,Major Market,West,1,Beans,Coffee,Amaretto,California,Regular,2016-09-17,2016-09-17,110.00,70.00,30.00,180.00,95.00,50.00,30.00,-2.00,145.00,52.00,109,2016-09-01
712,774,Small Market,Central,1,Beans,Espresso,Decaf Espresso,Iowa,Decaf,2017-09-11,2017-09-11,0.00,50.00,40.00,50.00,0.00,43.00,0.00,32.00,43.00,11.00,110,2017-09-01
650,456,Major Market,West,1,Leaves,Tea,Earl Grey,California,Regular,2017-06-04,2017-06-04,30.00,60.00,60.00,90.00,54.00,80.00,15.00,54.00,134.00,26.00,111,2017-06-01
475,777,Small Market,East,1,Leaves,Tea,Green Tea,Connecticut,Regular,2017-11-07,2017-11-07,40.00,60.00,40.00,100.00,38.00,56.00,10.00,35.00,94.00,21.00,112,2017-11-01
559,2101,Major Market,West,1,Beans,Coffee,Colombian,California,Regular,2016-09-17,2016-09-17,340.00,500.00,370.00,840.00,271.00,407.00,94.00,262.00,678.00,145.00,113,2016-09-01
573,771,Small Market,Central,1,Beans,Espresso,Decaf Espresso,Missouri,Decaf,2017-12-10,2017-12-10,40.00,80.00,60.00,120.00,42.00,61.00,11.00,38.00,103.00,23.00,114,2017-12-01
760,558,Major Market,West,1,Leaves,Tea,Green Tea,California,Regular,2017-09-18,2017-09-18,40.00,80.00,50.00,120.00,72.00,108.00,23.00,54.00,180.00,54.00,115,2017-09-01
603,777,Small Market,East,1,Leaves,Tea,Green Tea,New Hampshire,Regular,2015-09-08,2015-09-08,10.00,30.00,20.00,40.00,17.00,26.00,4.00,11.00,43.00,15.00,116,2015-09-01
715,617,Small Market,Central,1,Beans,Espresso,Decaf Espresso,Wisconsin,Decaf,2017-12-10,2017-12-10,50.00,70.00,50.00,120.00,48.00,62.00,15.00,35.00,110.00,27.00,117,2017-12-01
661,1459,Major Market,West,1,Beans,Espresso,Caffe Latte,California,Regular,2016-09-17,2016-09-17,210.00,220.00,150.00,430.00,228.00,228.00,63.00,140.00,456.00,88.00,118,2016-09-01
775,1310,Small Market,West,1,Leaves,Tea,Darjeeling,Nevada,Regular,2015-09-08,2015-09-08,150.00,220.00,150.00,370.00,234.00,312.00,77.00,203.00,546.00,109.00,119,2015-09-01
203,305,Small Market,East,1,Beans,Espresso,Decaf Espresso,Connecticut,Decaf,2016-11-28,2016-11-28,50.00,70.00,40.00,120.00,55.00,75.00,18.00,29.00,130.00,46.00,120,2016-11-01
712,623,Small Market,Central,1,Beans,Coffee,Decaf Irish Cream,Iowa,Decaf,2018-09-14,2018-09-14,20.00,30.00,20.00,50.00,23.00,31.00,7.00,12.00,54.00,19.00,121,2018-09-01
818,725,Major Market,West,1,Beans,Espresso,Caffe Mocha,California,Regular,2018-10-19,2018-10-19,100.00,140.00,20.00,240.00,105.00,145.00,95.00,17.00,250.00,128.00,122,2018-10-01
573,965,Small Market,Central,1,Beans,Coffee,Decaf Irish Cream,Missouri,Decaf,2016-04-26,2016-04-26,80.00,90.00,50.00,170.00,78.00,92.00,24.00,47.00,170.00,45.00,123,2016-04-01
970,1091,Major Market,Central,1,Leaves,Herbal Tea,Chamomile,Colorado,Decaf,2017-12-08,2017-12-08,140.00,160.00,110.00,300.00,170.00,171.00,47.00,99.00,341.00,72.00,124,2017-12-01
504,772,Small Market,South,1,Beans,Coffee,Decaf Irish Cream,Louisiana,Decaf,2016-11-28,2016-11-28,50.00,90.00,70.00,140.00,47.00,68.00,13.00,44.00,115.00,24.00,125,2016-11-01
971,456,Small Market,West,1,Leaves,Tea,Darjeeling,Oregon,Regular,2015-09-08,2015-09-08,20.00,30.00,30.00,50.00,32.00,48.00,8.00,28.00,80.00,20.00,126,2015-09-01
414,432,Small Market,Central,1,Beans,Coffee,Decaf Irish Cream,Wisconsin,Decaf,2016-04-26,2016-04-26,80.00,100.00,60.00,180.00,77.00,103.00,25.00,51.00,180.00,52.00,127,2016-04-01
312,777,Major Market,Central,1,Leaves,Herbal Tea,Chamomile,Illinois,Decaf,2017-12-08,2017-12-08,70.00,120.00,100.00,190.00,89.00,130.00,24.00,95.00,219.00,35.00,128,2017-12-01
505,625,Small Market,South,1,Beans,Coffee,Decaf Irish Cream,New Mexico,Decaf,2016-11-28,2016-11-28,100.00,20.00,-20.00,120.00,84.00,18.00,26.00,-31.00,102.00,49.00,129,2016-11-01
937,456,Major Market,Central,1,Leaves,Herbal Tea,Chamomile,Ohio,Decaf,2016-12-27,2016-12-27,20.00,50.00,50.00,70.00,32.00,48.00,8.00,29.00,80.00,19.00,130,2016-12-01
435,261,Small Market,West,1,Leaves,Tea,Darjeeling,Utah,Regular,2015-09-08,2015-09-08,20.00,40.00,0.00,60.00,37.00,53.00,34.00,-10.00,90.00,63.00,131,2015-09-01
405,817,Small Market,South,1,Beans,Coffee,Decaf Irish Cream,Oklahoma,Decaf,2016-11-28,2016-11-28,40.00,60.00,50.00,100.00,32.00,48.00,8.00,29.00,80.00,19.00,132,2016-11-01
719,435,Major Market,Central,1,Leaves,Herbal Tea,Lemon,Colorado,Decaf,2016-12-27,2016-12-27,50.00,80.00,20.00,130.00,63.00,87.00,57.00,0.00,150.00,87.00,133,2016-12-01
985,382,Small Market,South,1,Beans,Espresso,Decaf Espresso,Louisiana,Decaf,2018-12-01,2018-12-01,40.00,70.00,50.00,110.00,56.00,81.00,17.00,41.00,137.00,40.00,134,2018-12-01
