order_month,product_line,product_type,product,market,state,market_size,type,sales,cogs,total_expenses,profit,marketing,budget_sales,budget_cogs,budget_profit
2018-12-01,Leaves,Herbal Tea,Chamomile,West,Nevada,Small Market,Decaf,1114.00,456.00,543.00,103.00,412.00,950.00,380.00,150.00
2016-11-01,Beans,Coffee,Colombian,Central,Colorado,Major Market,Regular,190.00,83.00,39.00,68.00,27.00,190.00,80.00,80.00
2016-04-01,Leaves,Herbal Tea,Lemon,West,California,Major Market,Decaf,452.00,207.00,85.00,160.00,64.00,390.00,170.00,160.00
2018-04-01,Leaves,Tea,Darjeeling,Central,Illinois,Major Market,Regular,189.00,77.00,33.00,79.00,21.00,160.00,60.00,80.00
2016-11-01,Beans,Coffee,Colombian,Central,Illinois,Major Market,Regular,819.00,344.00,193.00,341.00,113.00,860.00,360.00,320.00
2016-09-01,Leaves,Herbal Tea,Chamomile,West,Oregon,Small Market,Decaf,237.00,94.00,60.00,92.00,26.00,180.00,60.00,120.00
2017-12-01,Leaves,Herbal Tea,Mint,West,California,Major Market,Decaf,286.00,122.00,65.00,106.00,39.00,220.00,90.00,100.00
2018-04-01,Leaves,Tea,Darjeeling,Central,Ohio,Major Market,Regular,200.00,80.00,58.00,62.00,26.00,170.00,60.00,60.00
2015-11-01,Beans,Coffee,Colombian,Central,Ohio,Major Market,Regular,224.00,91.00,72.00,67.00,28.00,220.00,90.00,80.00
2015-10-01,Leaves,Herbal Tea,Chamomile,West,Utah,Small Market,Decaf,93.00,38.00,34.00,21.00,12.00,80.00,30.00,30.00
2018-04-01,Leaves,Tea,Earl Grey,Central,Colorado,Major Market,Regular,252.00,115.00,77.00,60.00,35.00,200.00,90.00,50.00
2017-12-01,Leaves,Herbal Tea,Chamomile,West,Washington,Small Market,Decaf,310.00,124.00,71.00,115.00,40.00,270.00,100.00,120.00
2015-05-01,Beans,Espresso,Caffe Mocha,Central,Colorado,Major Market,Regular,321.00,130.00,58.00,133.00,36.00,430.00,160.00,240.00
2017-12-01,Leaves,Tea,Darjeeling,Central,Colorado,Major Market,Regular,254.00,113.00,109.00,32.00,42.00,210.00,80.00,40.00
2018-04-01,Leaves,Tea,Earl Grey,Central,Illinois,Major Market,Regular,189.00,75.00,55.00,59.00,24.00,160.00,60.00,50.00
2015-08-01,Beans,Espresso,Caffe Mocha,Central,Illinois,Major Market,Regular,1174.00,506.00,222.00,536.00,166.00,1380.00,580.00,560.00
2017-06-01,Leaves,Tea,Darjeeling,Central,Illinois,Major Market,Regular,364.00,148.00,64.00,152.00,41.00,310.00,120.00,140.00
2018-11-01,Leaves,Tea,Earl Grey,Central,Ohio,Major Market,Regular,424.00,177.00,100.00,147.00,54.00,330.00,120.00,150.00
2015-08-01,Beans,Espresso,Caffe Mocha,Central,Ohio,Major Market,Regular,341.00,170.00,72.00,99.00,47.00,400.00,190.00,140.00
2017-06-01,Leaves,Tea,Darjeeling,Central,Ohio,Major Market,Regular,210.00,84.00,58.00,68.00,27.00,180.00,70.00,60.00
2017-12-01,Leaves,Herbal Tea,Lemon,West,Nevada,Small Market,Decaf,345.00,144.00,90.00,111.00,47.00,300.00,120.00,120.00
2017-06-01,Leaves,Tea,Green Tea,Central,Colorado,Major Market,Regular,200.00,88.00,52.00,60.00,28.00,160.00,60.00,60.00
2015-08-01,Beans,Coffee,Colombian,East,Florida,Major Market,Regular,210.00,84.00,58.00,68.00,27.00,190.00,80.00,70.00
2017-06-01,Leaves,Tea,Earl Grey,Central,Colorado,Major Market,Regular,140.00,64.00,40.00,36.00,19.00,120.00,50.00,40.00
2017-12-01,Leaves,Herbal Tea,Lemon,West,Oregon,Small Market,Decaf,100.00,44.00,27.00,29.00,14.00,80.00,30.00,30.00
2017-06-01,Leaves,Tea,Darjeeling,East,Florida,Major Market,Regular,160.00,64.00,40.00,56.00,16.00,160.00,60.00,80.00
2017-12-01,Beans,Coffee,Colombian,East,Massachusetts,Major Market,Regular,1550.00,208.00,162.00,1317.00,67.00,1380.00,170.00,1120.00
2017-06-01,Leaves,Tea,Earl Grey,Central,Illinois,Major Market,Regular,180.00,72.00,54.00,54.00,23.00,150.00,60.00,40.00
2017-12-01,Leaves,Herbal Tea,Lemon,West,Utah,Small Market,Decaf,120.00,48.00,47.00,25.00,15.00,100.00,40.00,30.00
2017-06-01,Leaves,Tea,Darjeeling,East,Massachusetts,Major Market,Regular,174.00,68.00,41.00,74.00,18.00,170.00,60.00,80.00
2017-12-01,Beans,Coffee,Colombian,East,New York,Major Market,Regular,2127.00,833.00,447.00,924.00,290.00,1890.00,750.00,790.00
2017-06-01,Leaves,Tea,Earl Grey,Central,Ohio,Major Market,Regular,200.00,84.00,49.00,67.00,26.00,170.00,70.00,60.00
2017-03-01,Leaves,Herbal Tea,Lemon,West,Washington,Small Market,Decaf,85.00,34.00,21.00,30.00,9.00,70.00,20.00,50.00
2017-06-01,Leaves,Tea,Darjeeling,East,New York,Major Market,Regular,232.00,95.00,37.00,100.00,26.00,250.00,100.00,120.00
2018-07-01,Beans,Espresso,Caffe Mocha,East,Florida,Major Market,Regular,965.00,398.00,470.00,89.00,360.00,910.00,360.00,150.00
2017-06-01,Leaves,Tea,Earl Grey,East,New York,Major Market,Regular,243.00,99.00,39.00,105.00,27.00,260.00,100.00,130.00
2017-03-01,Leaves,Herbal Tea,Mint,West,Nevada,Small Market,Decaf,234.00,95.00,53.00,86.00,30.00,200.00,80.00,90.00
2017-06-01,Leaves,Tea,Green Tea,East,Florida,Major Market,Regular,115.00,47.00,24.00,44.00,13.00,120.00,40.00,60.00
2016-05-01,Leaves,Herbal Tea,Mint,West,Utah,Small Market,Decaf,99.00,88.00,51.00,-40.00,27.00,80.00,70.00,-30.00
2016-09-01,Beans,Espresso,Caffe Mocha,East,Massachusetts,Major Market,Regular,262.00,117.00,164.00,-29.00,106.00,240.00,110.00,0.00
2016-11-01,Leaves,Tea,Darjeeling,East,Massachusetts,Major Market,Regular,168.00,68.00,40.00,60.00,18.00,170.00,60.00,80.00
2016-05-01,Leaves,Tea,Darjeeling,Central,Iowa,Small Market,Regular,456.00,228.00,87.00,141.00,63.00,400.00,190.00,140.00
2017-01-01,Beans,Espresso,Caffe Mocha,East,New York,Major Market,Regular,135.00,230.00,274.00,-472.00,208.00,100.00,210.00,-340.00
2017-06-01,Leaves,Tea,Green Tea,East,Massachusetts,Major Market,Regular,146.00,54.00,37.00,62.00,14.00,140.00,50.00,70.00
2016-05-01,Leaves,Tea,Darjeeling,Central,Missouri,Small Market,Regular,82.00,35.00,38.00,9.00,11.00,70.00,30.00,10.00
2015-06-01,Leaves,Tea,Green Tea,East,New York,Major Market,Regular,387.00,158.00,67.00,162.00,43.00,410.00,160.00,190.00
2016-11-01,Leaves,Tea,Darjeeling,East,New York,Major Market,Regular,234.00,95.00,38.00,101.00,26.00,250.00,100.00,120.00
2016-05-01,Leaves,Tea,Darjeeling,Central,Wisconsin,Small Market,Regular,150.00,61.00,42.00,47.00,19.00,130.00,50.00,50.00
2017-01-01,Beans,Espresso,Regular Espresso,East,Massachusetts,Major Market,Regular,684.00,331.00,140.00,237.00,92.00,630.00,300.00,230.00
2015-06-01,Leaves,Tea,Darjeeling,West,California,Major Market,Regular,499.00,203.00,79.00,217.00,56.00,330.00,120.00,190.00
2016-11-01,Leaves,Tea,Earl Grey,East,New York,Major Market,Regular,219.00,89.00,36.00,94.00,24.00,230.00,90.00,110.00
2015-03-01,Leaves,Tea,Earl Grey,Central,Iowa,Small Market,Regular,546.00,245.00,126.00,175.00,93.00,480.00,210.00,160.00
2015-06-01,Leaves,Tea,Earl Grey,West,California,Major Market,Regular,189.00,77.00,32.00,80.00,21.00,120.00,50.00,60.00
2016-11-01,Leaves,Tea,Green Tea,East,Florida,Major Market,Regular,81.00,33.00,20.00,28.00,9.00,80.00,30.00,40.00
2017-11-01,Leaves,Tea,Earl Grey,Central,Missouri,Small Market,Regular,194.00,87.00,132.00,-30.00,33.00,150.00,60.00,-30.00
2016-09-01,Beans,Espresso,Regular Espresso,East,New York,Major Market,Regular,490.00,228.00,87.00,175.00,63.00,480.00,210.00,200.00
2015-06-01,Leaves,Tea,Green Tea,West,California,Major Market,Regular,189.00,75.00,56.00,58.00,24.00,120.00,40.00,50.00
2016-04-01,Leaves,Tea,Green Tea,East,Massachusetts,Major Market,Regular,129.00,52.00,35.00,46.00,13.00,130.00,50.00,60.00
2017-11-01,Leaves,Tea,Earl Grey,Central,Wisconsin,Small Market,Regular,389.00,163.00,229.00,-10.00,146.00,330.00,120.00,30.00
2016-09-01,Beans,Coffee,Colombian,South,Texas,Major Market,Regular,452.00,207.00,86.00,159.00,64.00,560.00,260.00,220.00
2015-06-01,Beans,Coffee,Decaf Irish Cream,Central,Iowa,Small Market,Decaf,54.00,23.00,19.00,12.00,7.00,50.00,20.00,20.00
2015-12-01,Leaves,Tea,Green Tea,East,New York,Major Market,Regular,134.00,54.00,26.00,54.00,15.00,140.00,50.00,70.00
2017-05-01,Leaves,Tea,Green Tea,Central,Missouri,Small Market,Regular,157.00,70.00,89.00,-4.00,25.00,130.00,50.00,0.00
2017-12-01,Beans,Coffee,Decaf Irish Cream,Central,Missouri,Small Market,Decaf,596.00,263.00,164.00,187.00,80.00,580.00,260.00,180.00
2016-09-01,Beans,Espresso,Caffe Latte,South,Texas,Major Market,Regular,180.00,72.00,55.00,53.00,23.00,150.00,60.00,50.00
2016-12-01,Leaves,Tea,Darjeeling,East,Connecticut,Small Market,Regular,123.00,50.00,26.00,47.00,14.00,130.00,50.00,60.00
2017-09-01,Beans,Coffee,Decaf Irish Cream,Central,Wisconsin,Small Market,Decaf,375.00,160.00,108.00,107.00,52.00,370.00,160.00,130.00
2016-09-01,Beans,Espresso,Caffe Mocha,South,Texas,Major Market,Regular,219.00,89.00,35.00,95.00,24.00,180.00,70.00,90.00
2015-12-01,Leaves,Tea,Darjeeling,West,California,Major Market,Regular,219.00,89.00,36.00,94.00,24.00,140.00,50.00,80.00
2017-11-01,Leaves,Tea,Darjeeling,East,New Hampshire,Small Market,Regular,108.00,43.00,35.00,30.00,12.00,100.00,30.00,50.00
2016-09-01,Beans,Coffee,Amaretto,West,California,Major Market,Regular,145.00,95.00,52.00,-2.00,30.00,180.00,110.00,30.00
2017-09-01,Beans,Espresso,Decaf Espresso,Central,Iowa,Small Market,Decaf,129.00,0.00,34.00,95.00,0.00,150.00,0.00,120.00
2017-06-01,Leaves,Tea,Earl Grey,West,California,Major Market,Regular,379.00,154.00,66.00,159.00,43.00,250.00,90.00,150.00
2017-11-01,Leaves,Tea,Green Tea,East,Connecticut,Small Market,Regular,94.00,38.00,21.00,35.00,10.00,100.00,40.00,40.00
2016-09-01,Beans,Coffee,Colombian,West,California,Major Market,Regular,678.00,271.00,145.00,262.00,94.00,840.00,340.00,370.00
2017-12-01,Beans,Espresso,Decaf Espresso,Central,Missouri,Small Market,Decaf,183.00,74.00,43.00,66.00,19.00,210.00,70.00,110.00
2017-09-01,Leaves,Tea,Green Tea,West,California,Major Market,Regular,575.00,219.00,163.00,225.00,70.00,330.00,110.00,140.00
2015-09-01,Leaves,Tea,Green Tea,East,New Hampshire,Small Market,Regular,89.00,17.00,26.00,58.00,4.00,80.00,10.00,50.00
2017-12-01,Beans,Espresso,Decaf Espresso,Central,Wisconsin,Small Market,Decaf,179.00,78.00,48.00,53.00,24.00,200.00,80.00,80.00
2016-09-01,Beans,Espresso,Caffe Latte,West,California,Major Market,Regular,456.00,228.00,88.00,140.00,63.00,430.00,210.00,150.00
2015-09-01,Leaves,Tea,Darjeeling,West,Nevada,Small Market,Regular,1218.00,525.00,229.00,559.00,173.00,830.00,340.00,340.00
2016-11-01,Beans,Espresso,Decaf Espresso,East,Connecticut,Small Market,Decaf,227.00,97.00,83.00,51.00,31.00,210.00,90.00,60.00
2018-09-01,Beans,Coffee,Decaf Irish Cream,Central,Iowa,Small Market,Decaf,106.00,45.00,37.00,27.00,14.00,100.00,40.00,40.00
2018-10-01,Beans,Espresso,Caffe Mocha,West,California,Major Market,Regular,530.00,210.00,262.00,43.00,190.00,480.00,200.00,40.00
2016-04-01,Beans,Coffee,Decaf Irish Cream,Central,Missouri,Small Market,Decaf,170.00,78.00,45.00,47.00,24.00,170.00,80.00,50.00
2017-12-01,Leaves,Herbal Tea,Chamomile,Central,Colorado,Major Market,Decaf,704.00,351.00,147.00,206.00,97.00,630.00,310.00,210.00
2016-11-01,Beans,Coffee,Decaf Irish Cream,South,Louisiana,Small Market,Decaf,244.00,100.00,47.00,116.00,27.00,300.00,110.00,150.00
2015-09-01,Leaves,Tea,Darjeeling,West,Oregon,Small Market,Regular,124.00,50.00,36.00,40.00,13.00,70.00,30.00,40.00
2016-04-01,Beans,Coffee,Decaf Irish Cream,Central,Wisconsin,Small Market,Decaf,180.00,77.00,52.00,51.00,25.00,180.00,80.00,60.00
2017-12-01,Leaves,Herbal Tea,Chamomile,Central,Illinois,Major Market,Decaf,509.00,207.00,80.00,222.00,57.00,450.00,180.00,210.00
2016-11-01,Beans,Coffee,Decaf Irish Cream,South,New Mexico,Small Market,Decaf,102.00,84.00,49.00,-31.00,26.00,120.00,100.00,-20.00
2016-12-01,Leaves,Herbal Tea,Chamomile,Central,Ohio,Major Market,Decaf,80.00,32.00,19.00,29.00,8.00,70.00,20.00,50.00
2015-09-01,Leaves,Tea,Darjeeling,West,Utah,Small Market,Regular,204.00,81.00,133.00,-20.00,74.00,130.00,40.00,10.00
2016-11-01,Beans,Coffee,Decaf Irish Cream,South,Oklahoma,Small Market,Decaf,160.00,62.00,39.00,66.00,16.00,190.00,70.00,100.00
2016-12-01,Leaves,Herbal Tea,Lemon,Central,Colorado,Major Market,Decaf,269.00,110.00,158.00,-9.00,99.00,230.00,90.00,20.00
2018-12-01,Beans,Espresso,Decaf Espresso,South,Louisiana,Small Market,Decaf,137.00,56.00,40.00,41.00,17.00,110.00,40.00,50.00
2016-04-01,Beans,Espresso,Decaf Espresso,Central,Iowa,Small Market,Decaf,43.00,17.00,16.00,10.00,4.00,50.00,10.00,30.00
2015-09-01,Leaves,Tea,Darjeeling,West,Washington,Small Market,Regular,358.00,129.00,86.00,162.00,39.00,230.00,80.00,90.00
2016-12-01,Leaves,Herbal Tea,Lemon,Central,Illinois,Major Market,Decaf,296.00,126.00,66.00,111.00,41.00,250.00,110.00,90.00
2018-12-01,Beans,Espresso,Decaf Espresso,Central,Missouri,Small Market,Decaf,114.00,46.00,23.00,45.00,12.00,130.00,50.00,60.00
2018-12-01,Beans,Espresso,Decaf Espresso,South,New Mexico,Small Market,Decaf,82.00,35.00,39.00,8.00,11.00,70.00,30.00,10.00
2015-09-01,Leaves,Tea,Earl Grey,West,Nevada,Small Market,Regular,2008.00,956.00,362.00,815.00,265.00,1310.00,630.00,420.00
2016-12-01,Leaves,Herbal Tea,Lemon,Central,Ohio,Major Market,Decaf,167.00,65.00,39.00,72.00,17.00,140.00,50.00,80.00
2018-12-01,Beans,Espresso,Decaf Espresso,Central,Wisconsin,Small Market,Decaf,110.00,48.00,28.00,34.00,15.00,120.00,50.00,50.00
2018-12-01,Beans,Espresso,Decaf Espresso,South,Oklahoma,Small Market,Decaf,200.00,80.00,57.00,63.00,26.00,170.00,60.00,70.00
2015-09-01,Leaves,Tea,Earl Grey,West,Oregon,Small Market,Regular,1142.00,438.00,299.00,464.00,143.00,740.00,270.00,300.00
2018-09-01,Leaves,Herbal Tea,Mint,Central,Colorado,Major Market,Decaf,287.00,119.00,94.00,80.00,38.00,240.00,100.00,80.00
2018-12-01,Beans,Espresso,Decaf Espresso,East,Connecticut,Small Market,Decaf,130.00,55.00,45.00,30.00,18.00,120.00,50.00,40.00
2018-06-01,Beans,Coffee,Decaf Irish Cream,West,Nevada,Small Market,Decaf,152.00,69.00,60.00,28.00,20.00,180.00,80.00,50.00
2017-07-01,Leaves,Herbal Tea,Mint,Central,Illinois,Major Market,Decaf,234.00,95.00,38.00,101.00,26.00,200.00,80.00,100.00
2015-11-01,Beans,Coffee,Decaf Irish Cream,South,Louisiana,Small Market,Decaf,81.00,33.00,20.00,28.00,9.00,100.00,40.00,50.00
2015-09-01,Beans,Coffee,Decaf Irish Cream,West,Oregon,Small Market,Decaf,423.00,171.00,141.00,111.00,52.00,530.00,200.00,230.00
2018-09-01,Leaves,Herbal Tea,Chamomile,East,Florida,Major Market,Decaf,110.00,48.00,28.00,34.00,15.00,80.00,30.00,30.00
2017-06-01,Beans,Coffee,Decaf Irish Cream,South,New Mexico,Small Market,Decaf,205.00,176.00,101.00,-72.00,54.00,250.00,220.00,-50.00
2015-09-01,Beans,Coffee,Decaf Irish Cream,West,Utah,Small Market,Decaf,702.00,314.00,249.00,146.00,118.00,910.00,380.00,330.00
2017-03-01,Leaves,Herbal Tea,Lemon,East,Florida,Major Market,Decaf,246.00,107.00,106.00,31.00,40.00,180.00,80.00,40.00
2015-08-01,Leaves,Tea,Earl Grey,West,Utah,Small Market,Regular,82.00,35.00,38.00,9.00,11.00,50.00,20.00,10.00
2015-08-01,Leaves,Tea,Earl Grey,West,Washington,Small Market,Regular,150.00,61.00,41.00,48.00,19.00,100.00,40.00,40.00
2017-06-01,Beans,Coffee,Decaf Irish Cream,West,Washington,Small Market,Decaf,220.00,92.00,113.00,15.00,83.00,270.00,110.00,60.00
2017-06-01,Beans,Coffee,Decaf Irish Cream,South,Oklahoma,Small Market,Decaf,80.00,32.00,20.00,28.00,8.00,100.00,40.00,50.00
2015-08-01,Leaves,Tea,Green Tea,West,Nevada,Small Market,Regular,17.00,245.00,126.00,-354.00,93.00,0.00,160.00,-240.00
2016-11-01,Beans,Espresso,Decaf Espresso,West,Nevada,Small Market,Decaf,47.00,19.00,17.00,11.00,5.00,40.00,10.00,20.00
2015-10-01,Beans,Espresso,Decaf Espresso,South,Louisiana,Small Market,Decaf,150.00,61.00,41.00,48.00,19.00,120.00,50.00,50.00
2015-09-01,Leaves,Tea,Green Tea,West,Oregon,Small Market,Regular,467.00,196.00,106.00,165.00,60.00,310.00,120.00,120.00
2018-06-01,Beans,Espresso,Decaf Espresso,West,Oregon,Small Market,Decaf,340.00,170.00,71.00,99.00,47.00,320.00,160.00,100.00
2015-10-01,Beans,Espresso,Decaf Espresso,South,New Mexico,Small Market,Decaf,82.00,35.00,38.00,9.00,11.00,70.00,30.00,10.00
2015-09-01,Leaves,Tea,Green Tea,West,Utah,Small Market,Regular,130.00,58.00,89.00,-17.00,22.00,80.00,20.00,20.00
2017-01-01,Beans,Espresso,Decaf Espresso,West,Utah,Small Market,Decaf,123.00,50.00,25.00,48.00,14.00,110.00,40.00,50.00
2015-12-01,Leaves,Herbal Tea,Chamomile,South,New Mexico,Small Market,Decaf,45.00,18.00,17.00,10.00,5.00,40.00,10.00,20.00
2018-04-01,Leaves,Tea,Green Tea,West,Washington,Small Market,Regular,180.00,75.00,97.00,8.00,68.00,120.00,40.00,20.00
2016-09-01,Beans,Espresso,Decaf Espresso,South,Oklahoma,Small Market,Decaf,210.00,84.00,59.00,67.00,27.00,180.00,70.00,70.00
2018-12-01,Beans,Espresso,Decaf Espresso,West,Washington,Small Market,Decaf,319.00,141.00,87.00,100.00,43.00,280.00,120.00,110.00
2015-11-01,Leaves,Herbal Tea,Chamomile,South,Oklahoma,Small Market,Decaf,250.00,112.00,105.00,37.00,42.00,240.00,100.00,50.00
2018-11-01,Beans,Coffee,Decaf Irish Cream,West,Nevada,Small Market,Decaf,195.00,89.00,91.00,15.00,26.00,230.00,100.00,70.00
2016-11-01,Beans,Coffee,Decaf Irish Cream,Central,Colorado,Major Market,Decaf,477.00,195.00,78.00,204.00,54.00,490.00,200.00,230.00
2018-12-01,Beans,Coffee,Amaretto,Central,Iowa,Small Market,Regular,198.00,78.00,66.00,63.00,21.00,190.00,60.00,90.00
2018-05-01,Beans,Coffee,Decaf Irish Cream,West,Oregon,Small Market,Decaf,254.00,100.00,77.00,84.00,31.00,300.00,120.00,120.00
2016-11-01,Beans,Coffee,Decaf Irish Cream,Central,Illinois,Major Market,Decaf,254.00,104.00,55.00,95.00,33.00,260.00,110.00,100.00
2018-12-01,Beans,Coffee,Amaretto,Central,Wisconsin,Small Market,Regular,250.00,112.00,104.00,38.00,42.00,250.00,110.00,50.00
2018-10-01,Beans,Coffee,Decaf Irish Cream,West,Utah,Small Market,Decaf,190.00,85.00,66.00,39.00,32.00,230.00,100.00,70.00
2016-07-01,Beans,Coffee,Colombian,Central,Iowa,Small Market,Regular,63.00,28.00,29.00,6.00,8.00,60.00,20.00,20.00
2015-11-01,Leaves,Herbal Tea,Lemon,South,Louisiana,Small Market,Decaf,360.00,162.00,123.00,85.00,60.00,340.00,150.00,80.00
2018-10-01,Beans,Coffee,Decaf Irish Cream,West,Washington,Small Market,Decaf,190.00,79.00,102.00,9.00,72.00,230.00,90.00,60.00
2016-07-01,Beans,Coffee,Colombian,Central,Missouri,Small Market,Regular,193.00,86.00,65.00,42.00,32.00,200.00,90.00,50.00
2015-11-01,Leaves,Herbal Tea,Lemon,South,New Mexico,Small Market,Decaf,137.00,62.00,59.00,19.00,18.00,130.00,50.00,40.00
2015-11-01,Leaves,Herbal Tea,Lemon,South,Oklahoma,Small Market,Decaf,514.00,216.00,244.00,59.00,195.00,500.00,190.00,100.00
2016-07-01,Beans,Coffee,Colombian,Central,Wisconsin,Small Market,Regular,220.00,92.00,113.00,15.00,83.00,230.00,90.00,40.00
2016-12-01,Beans,Coffee,Decaf Irish Cream,Central,Ohio,Major Market,Decaf,129.00,54.00,78.00,-3.00,49.00,130.00,50.00,20.00
2015-11-01,Leaves,Herbal Tea,Chamomile,West,Nevada,Small Market,Decaf,1017.00,418.00,465.00,135.00,379.00,880.00,350.00,140.00
2018-09-01,Beans,Espresso,Caffe Mocha,Central,Iowa,Small Market,Regular,104.00,42.00,33.00,36.00,11.00,110.00,40.00,50.00
2015-12-01,Beans,Espresso,Decaf Espresso,Central,Colorado,Major Market,Decaf,324.00,129.00,103.00,92.00,41.00,370.00,140.00,140.00
2015-09-01,Leaves,Herbal Tea,Chamomile,West,Oregon,Small Market,Decaf,81.00,33.00,20.00,28.00,9.00,70.00,20.00,50.00
2018-09-01,Beans,Espresso,Caffe Mocha,Central,Missouri,Small Market,Regular,254.00,100.00,50.00,119.00,28.00,280.00,100.00,140.00
